\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000027_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1770     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:03:23 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454056.720631 14.31655 0.00949 
 2454056.725154 14.31238 0.00975 
 2454056.729671 14.31282 0.00959 
 2454056.734196 14.29422 0.00945 
 2454057.641528 14.31796 0.01094 
 2454057.646052 14.32064 0.01049 
 2454057.650575 14.31547 0.01046 
 2454057.655939 14.31872 0.01055 
 2454057.661302 14.31382 0.01032 
 2454057.666667 14.30120 0.01023 
 2454057.672036 14.30223 0.01035 
 2454057.677400 14.30880 0.01028 
 2454057.679503 14.30641 0.01013 
 2454057.684026 14.31026 0.01003 
 2454057.688542 14.31376 0.01020 
 2454057.693066 14.31127 0.01009 
 2454057.697587 14.31656 0.00993 
 2454057.702107 14.30540 0.00985 
 2454057.706631 14.31229 0.01004 
 2454057.711156 14.31704 0.01004 
 2454057.715681 14.29967 0.00993 
 2454057.720203 14.31875 0.00967 
 2454057.724722 14.30488 0.00968 
 2454057.729246 14.30523 0.01009 
 2454058.641923 14.31584 0.01015 
 2454058.646443 14.31439 0.00989 
 2454058.650963 14.32717 0.00986 
 2454058.656328 14.32072 0.01019 
 2454058.661697 14.30943 0.00969 
 2454058.667066 14.30929 0.00970 
 2454058.672429 14.31903 0.00981 
 2454058.674533 14.32739 0.00971 
 2454058.679057 14.31938 0.00975 
 2454058.683579 14.31985 0.00957 
 2454058.688097 14.30656 0.00991 
 2454058.692621 14.31918 0.00961 
 2454058.697147 14.31247 0.00949 
 2454058.701672 14.32165 0.00968 
 2454058.706194 14.31873 0.00940 
 2454058.710713 14.30227 0.00936 
 2454058.715237 14.31588 0.00927 
 2454058.719762 14.30975 0.00911 
 2454058.724285 14.31569 0.00928 
 2454058.728802 14.32302 0.00922 
 2454059.580521 14.31803 0.01107 
 2454059.585045 14.31933 0.01123 
 2454059.589567 14.31475 0.01142 
 2454059.594085 14.32003 0.01109 
 2454059.598608 14.32948 0.01109 
 2454059.603125 14.32803 0.01052 
 2454059.607649 14.32056 0.01072 
 2454059.612171 14.32315 0.01048 
 2454059.616690 14.31090 0.01053 
 2454059.621213 14.31102 0.01046 
 2454059.625736 14.31580 0.01032 
 2454059.630255 14.30482 0.01028 
 2454059.634780 14.32631 0.01030 
 2454059.639301 14.32696 0.01037 
 2454059.643819 14.31024 0.01027 
 2454059.648340 14.32224 0.00994 
 2454059.653704 14.31186 0.00991 
 2454059.659067 14.32754 0.00995 
 2454059.664434 14.32753 0.01019 
 2454059.666537 14.30448 0.00990 
 2454059.671060 14.31147 0.00996 
 2454059.675579 14.30866 0.00989 
 2454059.680103 14.31496 0.00989 
 2454059.684625 14.31271 0.00966 
 2454059.689144 14.31023 0.00976 
 2454059.693667 14.30604 0.00954 
 2454059.698190 14.31695 0.00949 
 2454059.702708 14.31500 0.00950 
 2454059.707232 14.29416 0.00958 
 2454059.711754 14.30791 0.00967 
 2454059.716273 14.32048 0.00952 
 2454059.720797 14.30564 0.00931 
 2454059.725318 14.31936 0.00927 
 2454060.580529 14.31229 0.01213 
 2454060.585051 14.31990 0.01193 
 2454060.589569 14.30766 0.01220 
 2454060.594094 14.32633 0.01196 
 2454060.598617 14.32207 0.01226 
 2454060.603135 14.31089 0.01187 
 2454060.607659 14.31028 0.01184 
 2454060.612185 14.30762 0.01171 
 2454060.616710 14.32953 0.01130 
 2454060.621233 14.34771 0.01120 
 2454060.625750 14.32958 0.01094 
 2454060.630275 14.31124 0.01094 
 2454060.634796 14.32262 0.01089 
 2454060.639314 14.33417 0.01063 
 2454060.643840 14.30737 0.01045 
 2454060.649210 14.31471 0.01067 
 2454060.654581 14.31250 0.01039 
 2454060.659952 14.31148 0.01015 
 2454060.665322 14.31013 0.01014 
 2454060.667427 14.32030 0.00998 
 2454060.671947 14.31712 0.00993 
 2454060.676475 14.32534 0.00969 
 2454060.680994 14.32521 0.00946 
 2454060.685518 14.31239 0.00948 
 2454060.690040 14.32279 0.00948 
 2454060.694558 14.32834 0.00955 
 2454060.699081 14.31379 0.00931 
 2454060.705749 14.32318 0.00926 
 2454060.710272 14.31515 0.00921 
 2454060.714790 14.29784 0.00911 
 2454060.719313 14.31171 0.00922 
 2454060.723837 14.31449 0.00904 
 2454061.580528 14.32781 0.01202 
 2454061.585051 14.31328 0.01177 
 2454061.589570 14.33444 0.01123 
 2454061.594095 14.33767 0.01177 
 2454061.598620 14.31651 0.01154 
 2454061.603145 14.29894 0.01116 
 2454061.607668 14.32294 0.01140 
 2454061.612184 14.32691 0.01108 
 2454061.616709 14.33613 0.01119 
 2454061.621231 14.31932 0.01130 
 2454061.625749 14.32078 0.01078 
 2454061.630274 14.30739 0.01085 
 2454061.634800 14.32532 0.01074 
 2454061.639326 14.32005 0.01051 
 2454061.644689 14.30691 0.01009 
 2454061.650057 14.31959 0.01028 
 2454061.655425 14.32011 0.01009 
 2454061.660795 14.31359 0.01005 
 2454061.662893 14.30665 0.00977 
 2454061.667415 14.31310 0.00998 
 2454061.671937 14.32325 0.00977 
 2454061.676463 14.31798 0.00962 
 2454061.680989 14.30958 0.00976 
 2454061.685514 14.30748 0.00959 
 2454061.690033 14.32353 0.00940 
 2454061.694557 14.32116 0.00934 
 2454061.699080 14.31649 0.00944 
 2454061.703604 14.30425 0.00919 
 2454061.708131 14.31259 0.00908 
 2454061.712655 14.32127 0.00896 
 2454061.717174 14.32716 0.00892 
 2454066.584334 14.31597 0.01178 
 2454066.588851 14.32022 0.01115 
 2454066.593373 14.32720 0.01155 
 2454066.597899 14.30785 0.01135 
 2454066.602417 14.30893 0.01124 
 2454066.606942 14.30494 0.01152 
 2454066.611464 14.33107 0.01122 
 2454066.615989 14.32362 0.01108 
 2454066.620509 14.30727 0.01100 
 2454066.625032 14.33185 0.01098 
 2454066.629556 14.32157 0.01080 
 2454066.634920 14.30621 0.01081 
 2454066.640289 14.31859 0.01083 
 2454066.645658 14.32553 0.01048 
 2454066.647762 14.32601 0.01051 
 2454066.652278 14.31680 0.01031 
 2454066.656802 14.30072 0.01105 
 2454066.670365 14.31615 0.01056 
 2454066.679406 14.29708 0.01069 
 2454066.683931 14.32006 0.01161 
 2454066.688452 14.31538 0.01036 
 2454066.692972 14.30543 0.01027 
 2454066.697497 14.30685 0.00897 
 2454066.702021 14.31388 0.01127 
 2454066.706547 14.29899 0.01109 
 2454077.579764 14.31411 0.01063 
 2454077.584281 14.32325 0.01053 
 2454077.588794 14.34304 0.01040 
 2454077.593309 14.31776 0.01028 
 2454077.597830 14.33857 0.01034 
 2454077.613925 14.33399 0.01065 
 2454077.619287 14.30963 0.01018 
 2454077.621395 14.31017 0.01064 
 2454077.625912 14.32532 0.01078 
 2454077.630425 14.31816 0.01135 
 2454077.634939 14.32509 0.01148 
 2454077.639453 14.29661 0.01221 
 2454077.643967 14.32260 0.01243 
 2454077.648480 14.31559 0.01251 
 2454077.653002 14.30355 0.01289 
 2454077.657522 14.31861 0.01266 
 2454077.662044 14.31651 0.01301 
 2454077.666559 14.30074 0.01272 
 2454077.671072 14.31263 0.01241 
 2454077.675584 14.30339 0.01246 
 2454078.579757 14.33027 0.01052 
 2454078.584280 14.31942 0.01045 
 2454078.588798 14.32249 0.01032 
 2454078.593311 14.31757 0.01019 
 2454078.604034 14.31802 0.01007 
 2454078.609394 14.31460 0.00979 
 2454078.614762 14.31796 0.00975 
 2454078.616870 14.31397 0.00971 
 2454078.621392 14.32136 0.01003 
 2454078.625905 14.32013 0.00970 
 2454078.630419 14.30830 0.00975 
 2454078.634933 14.30533 0.00958 
 2454078.639446 14.31495 0.00965 
 2454078.643962 14.32016 0.00969 
 2454078.648475 14.32266 0.00962 
 2454078.652989 14.32337 0.00967 
 2454078.657502 14.31793 0.00960 
 2454078.662016 14.30044 0.00966 
 2454078.666530 14.31256 0.00985 
 2454078.671044 14.31327 0.00997 
 2454079.667575 14.30770 0.00901 
 2454080.579729 14.33044 0.01013 
 2454080.584243 14.31994 0.00996 
 2454080.588759 14.32123 0.01028 
 2454080.599487 14.31644 0.00997 
 2454080.604850 14.32143 0.00981 
 2454080.610210 14.31096 0.00979 
 2454080.612318 14.32247 0.00966 
 2454080.616835 14.31458 0.00944 
 2454080.621349 14.30706 0.00963 
 2454080.625864 14.32965 0.00951 
 2454080.630378 14.30925 0.00948 
 2454080.634893 14.31371 0.00966 
 2454080.639418 14.30397 0.00957 
 2454080.643933 14.32154 0.00949 
 2454080.648455 14.29995 0.00944 
 2454080.652970 14.31756 0.00932 
 2454080.657483 14.32140 0.00929 
 2454080.662000 14.30052 0.00941 
 2454080.666523 14.31280 0.00933 
 2454081.580718 14.31721 0.00993 
 2454081.585239 14.32131 0.00973 
 2454081.590603 14.31830 0.00958 
 2454081.595973 14.32107 0.00971 
 2454081.601342 14.32662 0.00971 
 2454081.606711 14.32617 0.00958 
 2454081.608820 14.31712 0.00958 
 2454081.613340 14.31598 0.00956 
 2454081.617854 14.31469 0.00934 
 2454081.622368 14.31986 0.00945 
 2454081.626882 14.31148 0.00945 
 2454081.631397 14.31718 0.00960 
 2454081.635918 14.32783 0.00934 
 2454081.640443 14.31752 0.00929 
 2454081.644959 14.31369 0.00922 
 2454081.649483 14.31606 0.00920 
 2454081.653999 14.31011 0.00935 
