\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_003635_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 600      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:04:06 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454786.838672 15.02420 0.02813 
 2454786.843210 15.00842 0.02535 
 2454786.845312 15.02614 0.02438 
 2454786.847428 15.00688 0.02436 
 2454786.849541 14.96426 0.02413 
 2454786.851651 15.00481 0.02363 
 2454786.853764 15.00093 0.02530 
 2454786.855874 15.01082 0.02554 
 2454786.857990 15.01911 0.02572 
 2454786.860099 15.00715 0.02593 
 2454786.862208 15.01860 0.02632 
 2454786.864316 14.99473 0.02594 
 2454786.866432 15.03462 0.02569 
 2454786.868542 15.00332 0.02582 
 2454786.870655 15.00996 0.02567 
 2454786.872766 15.00363 0.02578 
 2454786.874879 15.01426 0.02573 
 2454786.876989 15.00356 0.02556 
 2454786.879104 14.99432 0.02563 
 2454786.881219 15.02437 0.02591 
 2454786.883335 15.00280 0.02675 
 2454786.885442 14.99843 0.02638 
 2454786.887552 15.00599 0.02713 
 2454786.889662 15.00562 0.02702 
 2454786.891777 15.01291 0.02751 
 2454786.893885 15.00382 0.02750 
 2454786.895990 15.00874 0.02717 
 2454786.898099 15.01122 0.02782 
 2454786.900212 15.02246 0.02791 
 2454786.902326 15.03562 0.02756 
 2454786.904441 15.00874 0.02701 
 2454786.906551 15.03030 0.02675 
 2454786.908661 15.02297 0.02687 
 2454786.910772 15.01049 0.02649 
 2454786.912882 14.99722 0.02651 
 2454786.917097 14.96555 0.02773 
 2454786.919207 14.98817 0.02711 
 2454787.755338 14.98464 0.01748 
 2454787.765136 15.01918 0.02245 
 2454787.774938 14.98996 0.01927 
 2454787.784756 14.99713 0.02025 
 2454787.804375 15.01931 0.02052 
 2454787.808917 15.00747 0.02078 
 2454787.813453 15.01974 0.01942 
 2454787.817993 15.03350 0.02171 
 2454787.822534 14.99046 0.02281 
 2454787.831623 15.01061 0.02266 
 2454787.843094 15.01328 0.01999 
 2454787.847629 14.99737 0.01903 
 2454787.852169 15.01283 0.01995 
 2454787.856716 15.00119 0.02134 
 2454787.861253 15.00392 0.02123 
 2454787.865793 15.02337 0.02086 
 2454787.870330 15.00292 0.02028 
 2454787.874870 15.02171 0.01964 
 2454787.879407 14.99188 0.02164 
