\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009476_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:07:16 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454791.896929 13.26824 0.00388 
 2454791.904346 13.27389 0.00381 
 2454792.757885 13.25482 0.00371 
 2454792.769829 13.25635 0.00317 
 2454792.781785 13.26292 0.00351 
 2454792.875863 13.26254 0.00378 
 2454792.885475 13.25524 0.00371 
 2454792.904719 13.25179 0.00295 
 2454793.777071 13.27692 0.00402 
 2454794.740211 13.25791 0.00381 
 2454794.752176 13.24635 0.00346 
 2454794.764138 13.26596 0.00361 
 2454794.776090 13.27389 0.00381 
 2454794.790295 13.25310 0.00372 
 2454794.809543 13.27104 0.00373 
 2454794.828960 13.26105 0.00371 
 2454794.838759 13.26209 0.00371 
 2454794.860584 13.27152 0.00353 
 2454794.870191 13.25893 0.00365 
 2454794.889436 13.26035 0.00355 
 2454794.899059 13.20847 0.00295 
