\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000026_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:00:20 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454066.625032 14.08634 0.00911 
 2454066.629556 14.08867 0.00899 
 2454066.634920 14.08966 0.00894 
 2454066.640289 14.07682 0.00902 
 2454066.645658 14.09833 0.00874 
 2454066.647762 14.08402 0.00879 
 2454066.652278 14.10006 0.00861 
 2454066.656802 14.08504 0.00927 
 2454066.661325 14.07211 0.00931 
 2454066.665849 14.08646 0.01384 
 2454066.670365 14.08808 0.00893 
 2454066.679406 14.08017 0.00863 
 2454066.683931 14.08885 0.00970 
 2454066.688452 14.09042 0.00866 
 2454066.692972 14.09033 0.00853 
 2454066.697497 14.09295 0.00748 
 2454066.702021 14.09208 0.00938 
 2454066.706547 14.10931 0.00933 
 2454077.579764 14.09242 0.00882 
 2454077.584281 14.08905 0.00873 
 2454077.588794 14.09598 0.00865 
 2454077.593309 14.09284 0.00853 
 2454077.597830 14.08144 0.00862 
 2454077.603194 14.10383 0.00925 
 2454077.613925 14.08012 0.00888 
 2454077.619287 14.10123 0.00843 
 2454077.621395 14.09675 0.00883 
 2454077.625912 14.10095 0.00893 
 2454077.630425 14.07244 0.00942 
 2454077.634939 14.08988 0.00950 
 2454077.639453 14.09631 0.01006 
 2454077.643967 14.07452 0.01027 
 2454077.648480 14.08138 0.01036 
 2454077.653002 14.08742 0.01063 
 2454077.657522 14.07985 0.01045 
 2454077.662044 14.06642 0.01075 
 2454077.666559 14.09208 0.01047 
 2454077.671072 14.08116 0.01023 
 2454077.675584 14.07389 0.01027 
 2454078.579757 14.10019 0.00875 
 2454078.584280 14.07785 0.00870 
 2454078.588798 14.10621 0.00856 
 2454078.593311 14.08140 0.00850 
 2454078.604034 14.09139 0.00838 
 2454078.609394 14.09188 0.00816 
 2454078.614762 14.07814 0.00815 
 2454078.616870 14.08698 0.00810 
 2454078.621392 14.09420 0.00837 
 2454078.625905 14.09662 0.00812 
 2454078.630419 14.08941 0.00812 
 2454078.634933 14.08920 0.00800 
 2454078.639446 14.07052 0.00810 
 2454078.643962 14.08028 0.00810 
 2454078.648475 14.08398 0.00805 
 2454078.652989 14.07692 0.00809 
 2454078.657502 14.07468 0.00806 
 2454078.662016 14.09436 0.00804 
 2454078.666530 14.07881 0.00823 
 2454078.671044 14.08458 0.00832 
 2454079.667575 14.08793 0.00752 
 2454080.579729 14.09552 0.00845 
 2454080.584243 14.10336 0.00828 
 2454080.588759 14.09141 0.00858 
 2454080.599487 14.09248 0.00828 
 2454080.604850 14.08083 0.00822 
 2454080.610210 14.10391 0.00813 
 2454080.612318 14.08909 0.00807 
 2454080.616835 14.09912 0.00784 
 2454080.621349 14.08547 0.00800 
 2454080.625864 14.09402 0.00793 
 2454080.630378 14.09649 0.00787 
 2454080.634893 14.09105 0.00801 
 2454080.639418 14.08705 0.00799 
 2454080.643933 14.09169 0.00793 
 2454080.648455 14.08720 0.00790 
 2454080.652970 14.11099 0.00776 
 2454080.657483 14.10457 0.00776 
 2454080.662000 14.09034 0.00783 
 2454080.666523 14.09085 0.00781 
 2454081.580718 14.09626 0.00827 
 2454081.585239 14.07879 0.00812 
 2454081.590603 14.09348 0.00798 
 2454081.595973 14.08816 0.00810 
 2454081.601342 14.09829 0.00811 
 2454081.606711 14.09967 0.00799 
 2454081.608820 14.09558 0.00799 
 2454081.613340 14.08481 0.00800 
 2454081.617854 14.07713 0.00783 
 2454081.622368 14.08581 0.00789 
 2454081.626882 14.07947 0.00789 
 2454081.631397 14.07971 0.00803 
 2454081.635918 14.07719 0.00785 
 2454081.640443 14.08901 0.00776 
 2454081.644959 14.08177 0.00771 
 2454081.649483 14.07899 0.00771 
 2454081.653999 14.09028 0.00780 
 2454081.658514 14.08988 0.00791 
 2454081.663037 14.09128 0.00786 
 2454082.580708 14.09416 0.00882 
 2454082.595951 14.10546 0.01145 
 2454082.601323 14.09660 0.00848 
 2454082.603432 14.09901 0.00838 
 2454082.607947 14.09327 0.00840 
 2454082.616975 14.09950 0.00871 
 2454082.630517 14.06573 0.01111 
 2454082.639545 14.08899 0.01025 
 2454082.644059 14.07179 0.00907 
 2454082.653086 14.09186 0.00806 
 2454082.657601 14.13647 0.00896 
 2454082.662115 14.08532 0.00882 
 2454083.580709 14.09264 0.01070 
 2454083.586072 14.09627 0.00899 
 2454083.591437 14.09166 0.00898 
 2454083.596800 14.09506 0.00902 
 2454083.602167 14.09029 0.00900 
 2454083.604270 14.09103 0.00888 
 2454083.613299 14.09908 0.00863 
 2454083.617814 14.08435 0.00882 
 2454083.626842 14.09374 0.00889 
 2454083.635870 14.07310 0.00872 
 2454083.640384 14.08084 0.00859 
 2454083.644898 14.09161 0.00848 
 2454083.649412 14.09393 0.00866 
 2454083.653926 14.08493 0.00865 
 2454093.581229 14.10780 0.00888 
 2454093.585959 14.08540 0.00912 
 2454093.590688 14.07499 0.00894 
 2454093.595418 14.08443 0.00879 
 2454093.600146 14.09248 0.00863 
 2454093.604873 14.08330 0.00882 
 2454093.609602 14.07756 0.00904 
 2454093.614332 14.09322 0.00818 
 2454093.619059 14.07138 0.00880 
 2454093.623785 14.07725 0.00828 
 2454093.628516 14.07906 0.00852 
 2454093.633243 14.08513 0.00850 
 2454107.587528 14.08992 0.00771 
 2454107.592258 14.07741 0.00760 
 2454108.588224 14.08768 0.00748 
 2454362.811812 14.09412 0.00861 
 2454362.822059 14.09036 0.00859 
 2454362.827601 14.09996 0.00856 
 2454362.833143 14.10752 0.00810 
 2454362.835339 14.10399 0.00812 
 2454362.840036 14.08445 0.00839 
 2454362.844725 14.09350 0.00823 
 2454362.849430 14.10132 0.00793 
 2454362.854127 14.08956 0.00829 
 2454362.858823 14.10361 0.00794 
 2454362.863510 14.08531 0.00813 
 2454362.868216 14.10018 0.00774 
 2454362.872913 14.08931 0.00778 
 2454362.877610 14.09803 0.00787 
 2454362.882298 14.08587 0.00779 
 2454362.887004 14.08921 0.00766 
 2454362.891700 14.09728 0.00754 
 2454362.896397 14.10110 0.00771 
 2454363.802049 14.10181 0.00811 
 2454363.806757 14.08767 0.00795 
 2454363.811465 14.09941 0.00797 
 2454363.817020 14.10118 0.00790 
 2454363.822575 14.09717 0.00773 
 2454363.828129 14.09281 0.00726 
 2454363.833682 14.09358 0.00745 
 2454363.835883 14.09827 0.00746 
 2454363.840589 14.08612 0.00766 
 2454363.845296 14.10005 0.00749 
 2454363.850002 14.08148 0.00787 
 2454363.854707 14.09697 0.00762 
 2454363.859413 14.08639 0.00781 
 2454363.864119 14.09616 0.00721 
 2454363.868825 14.10169 0.00761 
 2454363.873532 14.09816 0.00754 
 2454363.878238 14.09893 0.00771 
 2454363.882944 14.09739 0.00717 
 2454363.887652 14.09704 0.00730 
 2454363.892358 14.08518 0.00739 
 2454378.760995 14.09171 0.01766 
 2454378.765697 14.12267 0.01941 
 2454378.770400 14.10968 0.00705 
 2454378.775947 14.06745 0.00731 
 2454378.792593 14.10050 0.00889 
 2454378.804192 14.09901 0.00706 
 2454378.818299 14.10202 0.00830 
 2454378.823001 14.09498 0.01192 
 2454378.827703 14.10888 0.01372 
 2454379.801083 14.08540 0.00673 
 2454380.757100 14.09034 0.04818 
 2454380.761807 14.07991 0.00910 
 2454380.766514 14.09196 0.00854 
 2454380.772070 14.09626 0.00829 
 2454381.774033 14.09322 0.00827 
 2454381.779582 14.09386 0.00799 
 2454381.781780 14.08731 0.00811 
 2454381.786482 14.09850 0.00817 
 2454381.791186 14.08467 0.00818 
 2454381.795882 14.08124 0.00796 
 2454381.800593 14.09554 0.00798 
 2454381.805296 14.08091 0.00793 
 2454381.809999 14.07773 0.00763 
 2454381.814698 14.07445 0.00734 
 2454381.819406 14.08373 0.00717 
 2454381.824111 14.07517 0.00751 
 2454381.828812 14.09538 0.00688 
 2454381.833516 14.07103 0.00724 
 2454381.838216 14.08179 0.00701 
 2454381.842917 14.08217 0.00733 
 2454382.746250 14.09131 0.00814 
 2454382.750956 14.08079 0.00826 
 2454382.755662 14.09881 0.00830 
 2454382.760369 14.09025 0.00814 
 2454382.765923 14.08664 0.00810 
 2454382.771476 14.08606 0.00818 
 2454382.777030 14.09014 0.00821 
 2454382.779231 14.09050 0.00823 
 2454382.783922 14.08541 0.00806 
 2454382.788644 14.09815 0.00790 
 2454382.793352 14.08782 0.00800 
 2454382.798060 14.09070 0.00789 
 2454382.802760 14.09225 0.00784 
 2454382.807473 14.09063 0.00766 
 2454382.812182 14.09687 0.00802 
 2454382.816886 14.07717 0.00773 
 2454382.821589 14.09228 0.00796 
 2454382.826288 14.10039 0.00750 
 2454382.831003 14.08273 0.00758 
 2454382.835710 14.10030 0.00781 
 2454382.840417 14.07689 0.00781 
 2454384.745157 14.09937 0.00808 
 2454384.749865 14.10284 0.00822 
 2454384.754571 14.09858 0.00797 
 2454384.760120 14.09841 0.00790 
 2454384.765672 14.08465 0.00797 
 2454384.771224 14.09756 0.00820 
 2454384.773426 14.09449 0.00825 
 2454384.778130 14.09710 0.00803 
 2454384.782826 14.09373 0.00788 
 2454384.787542 14.09277 0.00789 
